,latitude,longitude,Tingkat Kepercayaan (%),label
296,2.2377164363900004,100.89659881600001,69.0,12
297,2.17739582062,100.41523742700001,72.0,15
298,2.17561507225,100.403114319,79.0,15
299,2.2606921196000003,100.360054016,78.0,15
300,2.2918283939400004,100.35546875,76.0,15
301,2.31920218468,100.345069885,54.0,12
302,2.37792563438,100.31137085,50.0,12
303,2.40047192574,100.320533752,74.0,15
304,2.3987185955,100.308288574,58.0,12
305,2.44754981995,100.30807495100001,80.0,15
306,1.8475099999999998,100.806,86.0,15
307,1.45878,101.15100000000001,52.0,12
308,1.4047399999999999,100.811,59.0,10
309,1.14351,101.044,64.0,10
310,1.1344299999999998,101.04299999999999,9.0,18
311,1.11001,101.02,100.0,7
312,1.10859,101.029,100.0,7
313,1.10717,101.039,100.0,7
314,1.1009200000000001,101.01899999999999,100.0,7
315,1.0995,101.02799999999999,78.0,10
316,1.1035469999999998,101.0364,100.0,7
317,1.101553,101.022133,100.0,7
318,1.0995620000000002,101.00788100000001,87.0,10
319,1.114718,101.034798,100.0,7
320,1.11271,101.020523,100.0,7
321,1.127918,101.047539,52.0,10
322,1.139103,101.04594399999999,98.0,0
323,1.1370639999999999,101.031624,35.0,18
324,0.9914879999999999,99.720055,74.0,10
325,2.35358,100.324455,66.0,12
326,2.0074959999999997,100.784172,67.0,12
327,2.0024509999999998,100.816399,40.0,5
328,1.994377,100.808212,30.0,5
329,-0.199455,102.923927,33.0,1
330,0.017026,102.774017,45.0,14
331,0.161424,102.740669,42.0,14
332,0.156781,102.708282,40.0,14
333,0.366236,102.901749,25.0,18
334,1.0557969999999999,100.688416,65.0,10
335,1.847278,100.817673,85.0,15
336,1.843804,100.793312,85.0,15
337,1.99606,100.784607,81.0,15
338,2.010268,100.782593,58.0,12
339,2.1404349999999996,100.860344,37.0,5
340,2.3530990000000003,100.324669,80.0,15
341,1.09600234032,101.020629883,58.0,10
342,1.11228477955,101.01817321799999,93.0,0
343,1.13339149952,101.049324036,85.0,10
344,1.10779571533,101.04663085899999,63.0,10
345,1.10265719891,101.012985229,94.0,0
346,1.14027512074,101.041717529,90.0,0
347,1.8463021516799998,100.783905029,67.0,12
348,2.00491857529,100.78958129899999,20.0,5
349,2.1523706913,100.892982483,34.0,5
350,2.1473648548099997,100.859695435,33.0,5
351,2.14358615875,100.887580872,24.0,5
352,1.1394600000000001,101.045,100.0,7
353,1.1135,101.025,76.0,10
354,1.1119700000000001,101.035,38.0,10
355,1.10253,101.01299999999999,71.0,10
356,1.101,101.023,95.0,0
357,2.4135706424700003,100.31128692600001,43.0,5
358,2.26892232895,100.37880706799999,30.0,5
359,2.14866518974,100.883651733,80.0,15
360,2.1373085975599997,100.88208770799999,74.0,15
361,2.11191296577,100.498313904,70.0,12
362,2.00309228897,100.940406799,34.0,5
363,1.99182021618,100.938819885,81.0,15
364,2.03510260582,100.56065368700001,70.0,12
365,2.03285646439,100.576179504,26.0,5
366,2.00193786621,100.789680481,81.0,15
367,1.9997757673299998,100.80460357700001,63.0,12
368,2.0234708786,100.55907440200001,71.0,12
369,1.85141932964,100.793228149,56.0,12
370,1.84932565689,100.808151245,65.0,12
371,1.13931965828,101.038513184,88.0,10
372,1.1372904777500001,101.052375793,93.0,0
373,1.1282868385299998,101.036979675,37.0,18
374,1.11725270748,101.035453796,64.0,10
375,1.10821950436,101.019996643,95.0,0
376,1.1062207222,101.033912659,94.0,0
377,1.09717702866,101.01844787600001,61.0,10
378,0.984553515911,100.918334961,74.0,10
379,0.758094072342,101.686096191,61.0,10
380,-0.8514997959139999,102.175094604,67.0,16
381,-0.8539233803749999,102.15827179,82.0,16
382,-0.587508141994,102.65245819100001,39.0,1
383,-0.7287987470630001,101.485366821,45.0,16
384,0.104024127126,102.831634521,59.0,14
385,0.341827183962,102.735069275,13.0,1
386,0.457382053137,100.63168335,54.0,2
387,0.45625847578,100.64818573,67.0,2
388,1.96498203278,109.564376831,70.0,19
389,0.848080098629,101.796669006,54.0,10
390,0.932206630707,101.916282654,66.0,10
391,0.929747343063,101.89967346200001,67.0,10
392,0.980283617973,100.917129517,70.0,10
393,1.12350714207,101.63361358600001,50.0,10
394,1.102617383,101.03241729700001,94.0,0
395,1.09977245331,101.01306152299999,91.0,0
396,1.11541628838,101.03051757799999,37.0,18
397,1.13100254536,101.047874451,81.0,10
398,1.12821161747,101.028594971,22.0,18
399,1.1410099268,101.02668762200001,43.0,10
400,1.14265739918,101.04092407200001,56.0,10
401,1.23934876919,100.9870224,55.0,10
402,1.25531828403,100.734817505,63.0,10
403,1.32134568691,101.00771331799999,76.0,10
404,1.32316255569,101.021949768,54.0,10
405,1.48739171028,101.865943909,40.0,5
406,1.39721405506,100.81114959700001,81.0,10
407,1.39435493946,100.791175842,61.0,10
408,1.6516505479799999,101.36946106,60.0,12
409,1.82986569405,100.817100525,81.0,15
410,1.8427248001099998,100.81518554700001,41.0,5
411,1.83987832069,100.795562744,79.0,15
412,1.85274922848,100.79357147200001,79.0,15
413,1.9918683767299998,100.938392639,70.0,12
414,1.9974013567,100.80005645799999,55.0,12
415,1.9945218563099998,100.780548096,77.0,15
416,2.0829792022699998,101.20847320600001,64.0,12
417,1.98351490498,100.431427002,100.0,7
418,1.9804956913,100.41053772,100.0,7
419,1.99553132057,100.44602966299999,73.0,15
420,1.9923672676099997,100.425140381,100.0,7
421,2.02722215652,100.567054749,87.0,15
422,2.0241882801099997,100.546859741,76.0,15
423,2.1409261226700003,100.89170837399999,72.0,12
424,2.13816857338,100.872619629,88.0,15
425,2.06571245193,100.371482849,58.0,12
426,2.0626592636099996,100.350379944,28.0,5
427,2.15096950531,100.863838196,7.0,5
428,2.19187855721,101.049789429,81.0,15
429,2.18072748184,100.97541809100001,43.0,5
430,2.17791438103,100.95665741,72.0,12
431,2.16370129585,100.86192321799999,78.0,15
432,2.19054794312,100.954772949,87.0,15
433,2.23834657669,100.92831420899999,84.0,15
434,2.2356021404299997,100.909332275,72.0,12
435,2.17289376259,100.407447815,75.0,15
436,2.2588801384,100.36651611299999,53.0,12
437,2.27211356163,100.364547729,70.0,12
438,2.30872297287,100.337677002,38.0,5
439,2.35716128349,100.325119019,77.0,15
440,2.38365864754,100.321075439,12.0,5
441,2.40655970573,100.31098175,69.0,12
442,-0.8511559999999999,102.295,44.0,16
443,-0.759695,102.76299999999999,34.0,16
444,-0.0458584,103.14,37.0,1
445,-0.0469419,103.133,78.0,8
446,-0.23540999999999998,101.853,72.0,2
447,-6.9966750145,105.686172485,60.0,13
448,2.3694784641299997,100.33917999299999,100.0,7
449,2.35990405083,100.33782959,6.0,5
450,2.2457473278,100.929222107,78.0,15
451,2.24436092377,100.93884277299999,19.0,5
452,2.1719758510599996,100.863693237,95.0,15
453,2.1087131500200003,100.42930603,73.0,15
454,2.05395460129,100.472869873,53.0,12
